HMM,Time
XYNA_THEMA,105.060168
GLGC_BURP8,59.450192
H6_ONCMY,13.871169
XYLG_YERPA,506.402624
BP40_BPPHE,22.862920
MURD_CUPMC,83.476272
NTPA_BRASB,32.875870
RS14_ACICJ,17.141480
RIMO_BDEBA,58.417852
FDFT_USTMA,58.595632
PROF1_STRPU,19.394840
SMAG1_RAT,61.451432
HTPX_SERP5,38.552568
CLPB_ECOL6,178.629632
YO13_BPHC1,21.896902
Y5318_PSEAB,37.215644
PIMT_SHIB3,33.062818
P10_ASFWA,13.100567
MSCL_HAEDU,22.511582
KCD15_HUMAN,36.714700
TLX3_HUMAN,45.261152
KDUI_YERE8,30.660382
TRG_CUPNH,36.159124
YAEH_SALTY,19.277300
RS18_METPP,14.854614
MNME_PSYIN,76.210800
ECM14_LEPMJ,64.003476
EVI1B_XENLA,277.548992
PUR9_CLOBL,55.770788
PRGJ_SALTY,15.734171
GCSH_BORA1,19.639728
SPEH_BACCN,20.545924
EFTS_HAHCH,34.062988
RBL_PINPS,12.044281
SYC_BURCC,71.437592
OPSV_ORYLA,56.152008
SYE1_BRUSU,62.243016
RM11_RECAM,20.697316
QUEA_BACMF,38.717104
MT2H_BOVIN,13.830185
EMC4_HUMAN,24.183312
RS5_ANAMM,23.706366
FTSH3_ORYSJ,162.324560
HTPX_BURP0,40.159272
RMLB_MYCTO,71.177208
LEXA_RHORT,34.912608
RS3_AGRRK,30.770338
META_SYNP6,33.766084
PYRK_METAC,37.908676
CYSK_YEAST,66.415772
