HMM,Time
XYNA_THEMA,3.822320
GLGC_BURP8,2.210249
H6_ONCMY,0.535828
XYLG_YERPA,21.112536
BP40_BPPHE,0.820565
MURD_CUPMC,3.258592
NTPA_BRASB,1.223328
RS14_ACICJ,0.680800
RIMO_BDEBA,2.257703
FDFT_USTMA,2.168896
PROF1_STRPU,0.767623
SMAG1_RAT,2.245526
HTPX_SERP5,1.489622
CLPB_ECOL6,7.152060
YO13_BPHC1,0.806256
Y5318_PSEAB,1.401153
PIMT_SHIB3,1.274697
P10_ASFWA,0.528057
MSCL_HAEDU,1.055180
KCD15_HUMAN,1.428087
TLX3_HUMAN,1.787709
KDUI_YERE8,1.154285
TRG_CUPNH,1.414976
YAEH_SALTY,0.704628
RS18_METPP,0.648779
MNME_PSYIN,3.027734
ECM14_LEPMJ,2.372459
EVI1B_XENLA,10.657182
PUR9_CLOBL,2.179782
PRGJ_SALTY,0.608052
GCSH_BORA1,0.781388
SPEH_BACCN,0.809577
EFTS_HAHCH,1.290299
RBL_PINPS,0.629589
SYC_BURCC,2.729321
OPSV_ORYLA,2.237396
SYE1_BRUSU,2.432625
RM11_RECAM,0.814108
QUEA_BACMF,1.470408
MT2H_BOVIN,0.553274
EMC4_HUMAN,0.883070
RS5_ANAMM,0.934321
FTSH3_ORYSJ,6.433246
HTPX_BURP0,1.516244
RMLB_MYCTO,2.861517
LEXA_RHORT,1.336362
RS3_AGRRK,1.200653
META_SYNP6,1.278055
PYRK_METAC,1.447830
CYSK_YEAST,2.630841
