HMM,Time
XYNA_THEMA,73.103120
GLGC_BURP8,41.348776
H6_ONCMY,9.543481
XYLG_YERPA,348.319712
BP40_BPPHE,15.754072
MURD_CUPMC,58.021132
NTPA_BRASB,22.728598
RS14_ACICJ,11.817080
RIMO_BDEBA,40.600740
FDFT_USTMA,40.638872
PROF1_STRPU,13.338173
SMAG1_RAT,42.660084
HTPX_SERP5,26.674398
CLPB_ECOL6,125.761288
YO13_BPHC1,15.184539
Y5318_PSEAB,25.797544
PIMT_SHIB3,22.790420
P10_ASFWA,9.097675
MSCL_HAEDU,15.167769
KCD15_HUMAN,25.504006
TLX3_HUMAN,31.386486
KDUI_YERE8,21.049418
TRG_CUPNH,24.848414
YAEH_SALTY,13.242118
RS18_METPP,10.249618
MNME_PSYIN,52.382776
ECM14_LEPMJ,44.395032
EVI1B_XENLA,193.759648
PUR9_CLOBL,38.822400
PRGJ_SALTY,10.775147
GCSH_BORA1,13.560379
SPEH_BACCN,14.123618
EFTS_HAHCH,23.702106
RBL_PINPS,8.425168
SYC_BURCC,49.721704
OPSV_ORYLA,39.032440
SYE1_BRUSU,43.316452
RM11_RECAM,14.363045
QUEA_BACMF,26.846486
MT2H_BOVIN,9.552667
EMC4_HUMAN,16.705528
RS5_ANAMM,16.330276
FTSH3_ORYSJ,113.457504
HTPX_BURP0,27.841768
RMLB_MYCTO,49.926776
LEXA_RHORT,24.293752
RS3_AGRRK,21.386678
META_SYNP6,23.432944
PYRK_METAC,26.564396
CYSK_YEAST,46.624744
