HMM,Time
XYNA_THEMA,2.709588
GLGC_BURP8,1.585458
H6_ONCMY,0.353789
XYLG_YERPA,15.714662
BP40_BPPHE,0.588672
MURD_CUPMC,2.353397
NTPA_BRASB,0.854811
RS14_ACICJ,0.503397
RIMO_BDEBA,1.597892
FDFT_USTMA,1.503448
PROF1_STRPU,0.499848
SMAG1_RAT,1.559871
HTPX_SERP5,1.030139
CLPB_ECOL6,4.977985
YO13_BPHC1,0.566105
Y5318_PSEAB,0.996349
PIMT_SHIB3,0.876718
P10_ASFWA,0.377445
MSCL_HAEDU,0.620716
KCD15_HUMAN,0.966445
TLX3_HUMAN,1.251075
KDUI_YERE8,0.782490
TRG_CUPNH,1.031681
YAEH_SALTY,0.498081
RS18_METPP,0.430865
MNME_PSYIN,2.093895
ECM14_LEPMJ,1.744597
EVI1B_XENLA,7.642327
PUR9_CLOBL,1.497764
PRGJ_SALTY,0.443856
GCSH_BORA1,0.567929
SPEH_BACCN,0.532735
EFTS_HAHCH,0.908438
RBL_PINPS,0.490705
SYC_BURCC,1.952247
OPSV_ORYLA,1.628082
SYE1_BRUSU,1.692829
RM11_RECAM,0.586136
QUEA_BACMF,1.044228
MT2H_BOVIN,0.397789
EMC4_HUMAN,0.650938
RS5_ANAMM,0.648449
FTSH3_ORYSJ,4.572487
HTPX_BURP0,1.071856
RMLB_MYCTO,2.136981
LEXA_RHORT,0.968017
RS3_AGRRK,0.821226
META_SYNP6,0.876090
PYRK_METAC,1.028322
CYSK_YEAST,1.886177
