HMM,Time
XYNA_THEMA,60.188968
GLGC_BURP8,33.621660
H6_ONCMY,7.839832
XYLG_YERPA,288.399008
BP40_BPPHE,12.892265
MURD_CUPMC,47.984448
NTPA_BRASB,18.630820
RS14_ACICJ,9.661624
RIMO_BDEBA,33.490748
FDFT_USTMA,33.458450
PROF1_STRPU,10.915984
SMAG1_RAT,35.067416
HTPX_SERP5,21.726680
CLPB_ECOL6,104.210464
YO13_BPHC1,12.437244
Y5318_PSEAB,21.230436
PIMT_SHIB3,18.711456
P10_ASFWA,7.434437
MSCL_HAEDU,12.494726
KCD15_HUMAN,20.925492
TLX3_HUMAN,25.796408
KDUI_YERE8,17.249248
TRG_CUPNH,20.216684
YAEH_SALTY,10.837066
RS18_METPP,8.382429
MNME_PSYIN,43.323432
ECM14_LEPMJ,36.598056
EVI1B_XENLA,159.775120
PUR9_CLOBL,32.008356
PRGJ_SALTY,8.848068
GCSH_BORA1,11.124704
SPEH_BACCN,11.435928
EFTS_HAHCH,19.436762
RBL_PINPS,6.998364
SYC_BURCC,40.467384
OPSV_ORYLA,32.131728
SYE1_BRUSU,35.692532
RM11_RECAM,11.795945
QUEA_BACMF,22.090838
MT2H_BOVIN,7.823926
EMC4_HUMAN,13.657440
RS5_ANAMM,13.460322
FTSH3_ORYSJ,94.001008
HTPX_BURP0,22.923940
RMLB_MYCTO,40.746960
LEXA_RHORT,19.927948
RS3_AGRRK,17.615516
META_SYNP6,19.225262
PYRK_METAC,21.633642
CYSK_YEAST,37.375900
