HMM,Time
XYNA_THEMA,77.437280
GLGC_BURP8,43.913392
H6_ONCMY,10.202544
XYLG_YERPA,369.108288
BP40_BPPHE,16.711103
MURD_CUPMC,61.517468
NTPA_BRASB,24.117516
RS14_ACICJ,12.596524
RIMO_BDEBA,43.026544
FDFT_USTMA,43.330764
PROF1_STRPU,14.100920
SMAG1_RAT,45.212324
HTPX_SERP5,28.337368
CLPB_ECOL6,133.581392
YO13_BPHC1,16.082647
Y5318_PSEAB,27.392220
PIMT_SHIB3,24.247956
P10_ASFWA,9.611723
MSCL_HAEDU,16.146206
KCD15_HUMAN,27.019820
TLX3_HUMAN,33.288928
KDUI_YERE8,22.354710
TRG_CUPNH,26.299232
YAEH_SALTY,14.066940
RS18_METPP,10.921621
MNME_PSYIN,55.831964
ECM14_LEPMJ,47.143848
EVI1B_XENLA,206.023504
PUR9_CLOBL,41.197264
PRGJ_SALTY,11.487015
GCSH_BORA1,14.387540
SPEH_BACCN,14.974595
EFTS_HAHCH,25.099172
RBL_PINPS,8.937602
SYC_BURCC,52.786224
OPSV_ORYLA,41.373236
SYE1_BRUSU,45.982768
RM11_RECAM,15.284084
QUEA_BACMF,28.479704
MT2H_BOVIN,10.194013
EMC4_HUMAN,17.695228
RS5_ANAMM,17.441096
FTSH3_ORYSJ,120.385216
HTPX_BURP0,29.545596
RMLB_MYCTO,52.543672
LEXA_RHORT,25.648292
RS3_AGRRK,22.700632
META_SYNP6,24.842664
PYRK_METAC,27.875430
CYSK_YEAST,48.863300
