HMM,Time
XYNA_THEMA,43.416936
GLGC_BURP8,24.655322
H6_ONCMY,5.734381
XYLG_YERPA,214.766528
BP40_BPPHE,9.336262
MURD_CUPMC,34.725608
NTPA_BRASB,13.455215
RS14_ACICJ,6.988086
RIMO_BDEBA,24.311128
FDFT_USTMA,24.110908
PROF1_STRPU,7.956392
SMAG1_RAT,25.273176
HTPX_SERP5,15.859316
CLPB_ECOL6,76.795952
YO13_BPHC1,8.973949
Y5318_PSEAB,15.326602
PIMT_SHIB3,13.556240
P10_ASFWA,5.375284
MSCL_HAEDU,9.001673
KCD15_HUMAN,15.100313
TLX3_HUMAN,18.669414
KDUI_YERE8,12.473314
TRG_CUPNH,14.786690
YAEH_SALTY,7.824101
RS18_METPP,6.097858
MNME_PSYIN,31.383948
ECM14_LEPMJ,26.397800
EVI1B_XENLA,115.981472
PUR9_CLOBL,23.138488
PRGJ_SALTY,6.391857
GCSH_BORA1,8.045493
SPEH_BACCN,8.401905
EFTS_HAHCH,14.069442
RBL_PINPS,5.177366
SYC_BURCC,29.693472
OPSV_ORYLA,23.314726
SYE1_BRUSU,25.858744
RM11_RECAM,8.493649
QUEA_BACMF,15.946215
MT2H_BOVIN,5.651562
EMC4_HUMAN,9.918466
RS5_ANAMM,9.711742
FTSH3_ORYSJ,68.591832
HTPX_BURP0,16.536132
RMLB_MYCTO,29.673356
LEXA_RHORT,14.407803
RS3_AGRRK,12.741389
META_SYNP6,13.874209
PYRK_METAC,15.639067
CYSK_YEAST,27.497028
