HMM,Time
XYNA_THEMA,35.295952
GLGC_BURP8,20.654548
H6_ONCMY,4.623695
XYLG_YERPA,187.418144
BP40_BPPHE,7.525471
MURD_CUPMC,28.537546
NTPA_BRASB,11.180180
RS14_ACICJ,5.906009
RIMO_BDEBA,20.459986
FDFT_USTMA,19.892056
PROF1_STRPU,6.537723
SMAG1_RAT,20.817680
HTPX_SERP5,13.226470
CLPB_ECOL6,65.938320
YO13_BPHC1,7.370239
Y5318_PSEAB,12.898545
PIMT_SHIB3,11.363382
P10_ASFWA,4.344313
MSCL_HAEDU,7.601940
KCD15_HUMAN,12.485161
TLX3_HUMAN,15.547171
KDUI_YERE8,10.349002
TRG_CUPNH,12.367835
YAEH_SALTY,6.458660
RS18_METPP,5.009498
MNME_PSYIN,26.300112
ECM14_LEPMJ,21.833772
EVI1B_XENLA,97.689872
PUR9_CLOBL,19.324200
PRGJ_SALTY,5.219548
GCSH_BORA1,6.548424
SPEH_BACCN,6.956690
EFTS_HAHCH,11.778114
RBL_PINPS,4.308354
SYC_BURCC,24.379346
OPSV_ORYLA,19.360344
SYE1_BRUSU,21.247008
RM11_RECAM,7.049618
QUEA_BACMF,13.141172
MT2H_BOVIN,4.614055
EMC4_HUMAN,8.145135
RS5_ANAMM,8.162144
FTSH3_ORYSJ,57.521312
HTPX_BURP0,13.570407
RMLB_MYCTO,24.968012
LEXA_RHORT,11.736367
RS3_AGRRK,10.628654
META_SYNP6,11.363327
PYRK_METAC,12.981298
CYSK_YEAST,22.719892
