HMM,Time
XYNA_THEMA,4.912303
GLGC_BURP8,2.855878
H6_ONCMY,0.695444
XYLG_YERPA,26.068700
BP40_BPPHE,1.069695
MURD_CUPMC,4.098278
NTPA_BRASB,1.545389
RS14_ACICJ,0.874889
RIMO_BDEBA,2.852317
FDFT_USTMA,2.758419
PROF1_STRPU,0.957326
SMAG1_RAT,2.902942
HTPX_SERP5,1.862051
CLPB_ECOL6,9.048184
YO13_BPHC1,1.025491
Y5318_PSEAB,1.784065
PIMT_SHIB3,1.582209
P10_ASFWA,0.653610
MSCL_HAEDU,1.113263
KCD15_HUMAN,1.772320
TLX3_HUMAN,2.273612
KDUI_YERE8,1.451917
TRG_CUPNH,1.775273
YAEH_SALTY,0.912074
RS18_METPP,0.726875
MNME_PSYIN,3.725068
ECM14_LEPMJ,3.013156
EVI1B_XENLA,13.612436
PUR9_CLOBL,2.671859
PRGJ_SALTY,0.766327
GCSH_BORA1,0.988232
SPEH_BACCN,1.024747
EFTS_HAHCH,1.644589
RBL_PINPS,0.794046
SYC_BURCC,3.514401
OPSV_ORYLA,2.824566
SYE1_BRUSU,3.026721
RM11_RECAM,0.991565
QUEA_BACMF,1.851566
MT2H_BOVIN,0.734071
EMC4_HUMAN,1.186879
RS5_ANAMM,1.191228
FTSH3_ORYSJ,8.216384
HTPX_BURP0,1.984366
RMLB_MYCTO,3.657093
LEXA_RHORT,1.702863
RS3_AGRRK,1.485725
META_SYNP6,1.603839
PYRK_METAC,1.876723
CYSK_YEAST,3.347582
