HMM,Time
XYNA_THEMA,51.721872
GLGC_BURP8,29.289502
H6_ONCMY,6.732925
XYLG_YERPA,255.848624
BP40_BPPHE,11.072372
MURD_CUPMC,41.188104
NTPA_BRASB,16.014636
RS14_ACICJ,8.319883
RIMO_BDEBA,28.788044
FDFT_USTMA,28.674358
PROF1_STRPU,9.372807
SMAG1_RAT,30.073232
HTPX_SERP5,18.834320
CLPB_ECOL6,89.740272
YO13_BPHC1,10.656128
Y5318_PSEAB,18.224746
PIMT_SHIB3,16.102983
P10_ASFWA,6.349930
MSCL_HAEDU,10.734753
KCD15_HUMAN,17.930130
TLX3_HUMAN,22.143650
KDUI_YERE8,14.820467
TRG_CUPNH,17.538984
YAEH_SALTY,9.288208
RS18_METPP,7.230165
MNME_PSYIN,37.218344
ECM14_LEPMJ,31.391080
EVI1B_XENLA,137.341392
PUR9_CLOBL,27.492284
PRGJ_SALTY,7.593129
GCSH_BORA1,9.537088
SPEH_BACCN,9.998382
EFTS_HAHCH,16.725249
RBL_PINPS,6.070687
SYC_BURCC,35.233420
OPSV_ORYLA,27.635464
SYE1_BRUSU,30.657878
RM11_RECAM,10.104510
QUEA_BACMF,18.948768
MT2H_BOVIN,6.678115
EMC4_HUMAN,11.706897
RS5_ANAMM,11.521530
FTSH3_ORYSJ,81.084432
HTPX_BURP0,19.684216
RMLB_MYCTO,35.021308
LEXA_RHORT,17.106410
RS3_AGRRK,15.093864
META_SYNP6,16.515448
PYRK_METAC,18.556384
CYSK_YEAST,32.664224
