HMM,Time
XYNA_THEMA,69.408944
GLGC_BURP8,39.354200
H6_ONCMY,9.161417
XYLG_YERPA,331.624256
BP40_BPPHE,14.965581
MURD_CUPMC,55.286064
NTPA_BRASB,21.610190
RS14_ACICJ,11.269565
RIMO_BDEBA,38.724856
FDFT_USTMA,38.612316
PROF1_STRPU,12.675710
SMAG1_RAT,40.436584
HTPX_SERP5,25.349472
CLPB_ECOL6,119.812656
YO13_BPHC1,14.369453
Y5318_PSEAB,24.573590
PIMT_SHIB3,21.774344
P10_ASFWA,8.590512
MSCL_HAEDU,14.450111
KCD15_HUMAN,24.112694
TLX3_HUMAN,29.753152
KDUI_YERE8,20.027956
TRG_CUPNH,23.577784
YAEH_SALTY,12.582232
RS18_METPP,9.711333
MNME_PSYIN,49.908472
ECM14_LEPMJ,42.165252
EVI1B_XENLA,183.569936
PUR9_CLOBL,36.888220
PRGJ_SALTY,10.275053
GCSH_BORA1,12.859657
SPEH_BACCN,13.415065
EFTS_HAHCH,22.490056
RBL_PINPS,8.056006
SYC_BURCC,47.219632
OPSV_ORYLA,37.120160
SYE1_BRUSU,41.140752
RM11_RECAM,13.734953
QUEA_BACMF,25.502092
MT2H_BOVIN,9.028987
EMC4_HUMAN,15.883195
RS5_ANAMM,15.608055
FTSH3_ORYSJ,108.067840
HTPX_BURP0,26.467878
RMLB_MYCTO,46.899112
LEXA_RHORT,23.077044
RS3_AGRRK,20.306022
META_SYNP6,22.237760
PYRK_METAC,24.994522
CYSK_YEAST,43.720068
