HMM,Time
XYNA_THEMA,116.454464
GLGC_BURP8,65.995640
H6_ONCMY,15.431993
XYLG_YERPA,559.435712
BP40_BPPHE,25.368242
MURD_CUPMC,92.502296
NTPA_BRASB,36.404792
RS14_ACICJ,19.084352
RIMO_BDEBA,64.614912
FDFT_USTMA,64.841192
PROF1_STRPU,21.503016
SMAG1_RAT,67.928256
HTPX_SERP5,42.663076
CLPB_ECOL6,197.581040
YO13_BPHC1,24.356900
Y5318_PSEAB,41.577224
PIMT_SHIB3,36.639244
P10_ASFWA,14.511890
MSCL_HAEDU,24.459266
KCD15_HUMAN,40.679660
TLX3_HUMAN,50.149948
KDUI_YERE8,33.815212
TRG_CUPNH,39.679464
YAEH_SALTY,21.358948
RS18_METPP,16.497082
MNME_PSYIN,83.611704
ECM14_LEPMJ,70.821096
EVI1B_XENLA,308.109216
PUR9_CLOBL,62.069428
PRGJ_SALTY,17.464196
GCSH_BORA1,21.854100
SPEH_BACCN,22.765140
EFTS_HAHCH,37.848960
RBL_PINPS,13.368594
SYC_BURCC,79.194256
OPSV_ORYLA,62.250760
SYE1_BRUSU,68.845840
RM11_RECAM,23.105444
QUEA_BACMF,42.920208
MT2H_BOVIN,15.320790
EMC4_HUMAN,26.783784
RS5_ANAMM,26.269656
FTSH3_ORYSJ,179.718512
HTPX_BURP0,44.467808
RMLB_MYCTO,78.728480
LEXA_RHORT,38.766328
RS3_AGRRK,34.159788
META_SYNP6,37.568660
PYRK_METAC,41.986280
CYSK_YEAST,73.542080
