HMM,Time
XYNA_THEMA,16.173378
GLGC_BURP8,9.291476
H6_ONCMY,2.210263
XYLG_YERPA,84.478120
BP40_BPPHE,3.533966
MURD_CUPMC,13.360400
NTPA_BRASB,5.068298
RS14_ACICJ,2.784933
RIMO_BDEBA,9.468266
FDFT_USTMA,9.194010
PROF1_STRPU,3.130825
SMAG1_RAT,9.611962
HTPX_SERP5,6.167120
CLPB_ECOL6,29.602442
YO13_BPHC1,3.413316
Y5318_PSEAB,5.932799
PIMT_SHIB3,5.135685
P10_ASFWA,2.084345
MSCL_HAEDU,3.595630
KCD15_HUMAN,5.810095
TLX3_HUMAN,7.261437
KDUI_YERE8,4.798731
TRG_CUPNH,5.797937
YAEH_SALTY,3.035720
RS18_METPP,2.357317
MNME_PSYIN,12.186146
ECM14_LEPMJ,10.122504
EVI1B_XENLA,44.802664
PUR9_CLOBL,8.884530
PRGJ_SALTY,2.463897
GCSH_BORA1,3.129510
SPEH_BACCN,3.267283
EFTS_HAHCH,5.384537
RBL_PINPS,2.128597
SYC_BURCC,11.432600
OPSV_ORYLA,9.065433
SYE1_BRUSU,9.927714
RM11_RECAM,3.310098
QUEA_BACMF,6.202326
MT2H_BOVIN,2.209947
EMC4_HUMAN,3.839090
RS5_ANAMM,3.772579
FTSH3_ORYSJ,26.769948
HTPX_BURP0,6.402323
RMLB_MYCTO,11.653984
LEXA_RHORT,5.467031
RS3_AGRRK,5.034510
META_SYNP6,5.314339
PYRK_METAC,6.036060
CYSK_YEAST,10.693354
