HMM,Time
XYNA_THEMA,57.100988
GLGC_BURP8,32.343986
H6_ONCMY,7.504376
XYLG_YERPA,274.302208
BP40_BPPHE,12.245094
MURD_CUPMC,45.508712
NTPA_BRASB,17.691096
RS14_ACICJ,9.216560
RIMO_BDEBA,31.803300
FDFT_USTMA,31.681656
PROF1_STRPU,10.342096
SMAG1_RAT,33.222972
HTPX_SERP5,20.799180
CLPB_ECOL6,99.140688
YO13_BPHC1,11.772607
Y5318_PSEAB,20.115660
PIMT_SHIB3,17.722258
P10_ASFWA,7.074564
MSCL_HAEDU,11.853580
KCD15_HUMAN,19.829016
TLX3_HUMAN,24.494636
KDUI_YERE8,16.389884
TRG_CUPNH,19.380298
YAEH_SALTY,10.252117
RS18_METPP,7.978447
MNME_PSYIN,41.107792
ECM14_LEPMJ,34.645740
EVI1B_XENLA,151.523328
PUR9_CLOBL,30.326904
PRGJ_SALTY,8.388670
GCSH_BORA1,10.500466
SPEH_BACCN,11.003897
EFTS_HAHCH,18.416324
RBL_PINPS,6.652862
SYC_BURCC,38.915068
OPSV_ORYLA,30.483048
SYE1_BRUSU,33.845292
RM11_RECAM,11.185022
QUEA_BACMF,20.961616
MT2H_BOVIN,7.421989
EMC4_HUMAN,12.987303
RS5_ANAMM,12.697737
FTSH3_ORYSJ,89.236912
HTPX_BURP0,21.731404
RMLB_MYCTO,38.703252
LEXA_RHORT,18.881656
RS3_AGRRK,16.664853
META_SYNP6,18.241696
PYRK_METAC,20.483804
CYSK_YEAST,35.997448
