HMM,Time
XYNA_THEMA,31.333728
GLGC_BURP8,18.408348
H6_ONCMY,4.211611
XYLG_YERPA,166.481888
BP40_BPPHE,6.740377
MURD_CUPMC,25.772492
NTPA_BRASB,9.956984
RS14_ACICJ,5.295941
RIMO_BDEBA,18.362732
FDFT_USTMA,18.272208
PROF1_STRPU,5.994741
SMAG1_RAT,18.758890
HTPX_SERP5,11.882296
CLPB_ECOL6,57.300044
YO13_BPHC1,6.664792
Y5318_PSEAB,11.621444
PIMT_SHIB3,10.318318
P10_ASFWA,4.005275
MSCL_HAEDU,6.795538
KCD15_HUMAN,11.373013
TLX3_HUMAN,14.122995
KDUI_YERE8,9.434623
TRG_CUPNH,11.124626
YAEH_SALTY,5.916056
RS18_METPP,4.668499
MNME_PSYIN,23.766586
ECM14_LEPMJ,19.577080
EVI1B_XENLA,86.673144
PUR9_CLOBL,17.235170
PRGJ_SALTY,4.797518
GCSH_BORA1,6.143838
SPEH_BACCN,6.338461
EFTS_HAHCH,10.452578
RBL_PINPS,3.960446
SYC_BURCC,22.158604
OPSV_ORYLA,17.593660
SYE1_BRUSU,19.311260
RM11_RECAM,6.488971
QUEA_BACMF,12.143439
MT2H_BOVIN,4.215150
EMC4_HUMAN,7.426396
RS5_ANAMM,7.354257
FTSH3_ORYSJ,51.847892
HTPX_BURP0,12.312520
RMLB_MYCTO,22.359552
LEXA_RHORT,10.749533
RS3_AGRRK,9.590519
META_SYNP6,10.532513
PYRK_METAC,11.788540
CYSK_YEAST,20.516632
