BP40_BPPHE, 1.098461
CLPB_ECOL6, 7.417079
CYSK_YEAST, 2.748598
ECM14_LEPMJ, 3.298911
EFTS_HAHCH, 1.684363
EMC4_HUMAN, 1.136495
EVI1B_XENLA, 7.790057
FDFT_USTMA, 3.216369
FTSH3_ORYSJ, 7.985786
GCSH_BORA1, 0.945587
GLGC_BURP8, 2.749171
H6_ONCMY, 0.629550
HTPX_BURP0, 1.935714
HTPX_SERP5, 1.910929
KCD15_HUMAN, 1.840791
KDUI_YERE8, 1.611123
LEXA_RHORT, 1.685366
META_SYNP6, 1.817136
MNME_PSYIN, 3.790435
MSCL_HAEDU, 1.024816
MT2H_BOVIN, 0.590126
MURD_CUPMC, 3.704389
NTPA_BRASB, 1.496620
OPSV_ORYLA, 2.188994
P10_ASFWA, 0.601917
PIMT_SHIB3, 1.549318
PRGJ_SALTY, 0.717389
PROF1_STRPU, 0.888800
PUR9_CLOBL, 2.884338
PYRK_METAC, 1.845881
QUEA_BACMF, 2.021963
RBL_PINPS, 0.653696
RIMO_BDEBA, 2.943897
RM11_RECAM, 0.957177
RMLB_MYCTO, 2.772298
RS14_ACICJ, 0.744828
RS18_METPP, 0.681113
RS3_AGRRK, 1.558594
RS5_ANAMM, 1.121797
SMAG1_RAT, 3.327539
SPEH_BACCN, 0.950039
SYC_BURCC, 3.832339
SYE1_BRUSU, 2.935095
TLX3_HUMAN, 2.037114
TRG_CUPNH, 1.923059
XYLG_YERPA, 14.516157
XYNA_THEMA, 5.827612
Y5318_PSEAB, 1.932757
YAEH_SALTY, 0.880383
YO13_BPHC1, 1.065803
