BP40_BPPHE, 104.748648
CLPB_ECOL6, 754.132544
CYSK_YEAST, 296.790848
ECM14_LEPMJ, 326.778336
EFTS_HAHCH, 176.644544
EMC4_HUMAN, 112.608960
EVI1B_XENLA, 936.708288
FDFT_USTMA, 299.923072
FTSH3_ORYSJ, 915.531328
GCSH_BORA1, 104.264440
GLGC_BURP8, 301.750688
H6_ONCMY, 91.547120
HTPX_BURP0, 207.776096
HTPX_SERP5, 215.072784
KCD15_HUMAN, 213.044528
KDUI_YERE8, 167.852144
LEXA_RHORT, 173.962160
META_SYNP6, 196.600768
MNME_PSYIN, 385.088000
MSCL_HAEDU, 115.606008
MT2H_BOVIN, 95.616920
MURD_CUPMC, 359.446272
NTPA_BRASB, 143.025728
OPSV_ORYLA, 281.110976
P10_ASFWA, 84.249792
PIMT_SHIB3, 154.575264
PRGJ_SALTY, 82.862752
PROF1_STRPU, 98.363720
PUR9_CLOBL, 277.302336
PYRK_METAC, 221.732560
QUEA_BACMF, 222.188864
RBL_PINPS, 106.430048
RIMO_BDEBA, 294.647936
RM11_RECAM, 101.274064
RMLB_MYCTO, 344.390464
RS14_ACICJ, 91.046656
RS18_METPP, 83.760600
RS3_AGRRK, 168.442592
RS5_ANAMM, 118.827880
SMAG1_RAT, 323.517984
SPEH_BACCN, 105.348448
SYC_BURCC, 373.518880
SYE1_BRUSU, 281.832832
TLX3_HUMAN, 254.906800
TRG_CUPNH, 212.767536
XYLG_YERPA, 1706.016128
XYNA_THEMA, 557.335744
Y5318_PSEAB, 203.908912
YAEH_SALTY, 98.173104
YO13_BPHC1, 107.021080
