BP40_BPPHE, 63.498704
CLPB_ECOL6, 425.561184
CYSK_YEAST, 166.637440
ECM14_LEPMJ, 179.592304
EFTS_HAHCH, 100.253648
EMC4_HUMAN, 66.843344
EVI1B_XENLA, 425.932512
FDFT_USTMA, 174.530560
FTSH3_ORYSJ, 460.192480
GCSH_BORA1, 58.458876
GLGC_BURP8, 161.765312
H6_ONCMY, 52.797720
HTPX_BURP0, 117.421264
HTPX_SERP5, 118.072640
KCD15_HUMAN, 115.488376
KDUI_YERE8, 95.762944
LEXA_RHORT, 97.855976
META_SYNP6, 111.079224
MNME_PSYIN, 215.706144
MSCL_HAEDU, 66.023424
MT2H_BOVIN, 53.078444
MURD_CUPMC, 205.266384
NTPA_BRASB, 75.657920
OPSV_ORYLA, 143.488704
P10_ASFWA, 51.118320
PIMT_SHIB3, 84.227064
PRGJ_SALTY, 49.799840
PROF1_STRPU, 59.563236
PUR9_CLOBL, 151.850032
PYRK_METAC, 116.148192
QUEA_BACMF, 123.378808
RBL_PINPS, 52.285680
RIMO_BDEBA, 161.066432
RM11_RECAM, 54.637328
RMLB_MYCTO, 183.001872
RS14_ACICJ, 49.871024
RS18_METPP, 46.250684
RS3_AGRRK, 92.622560
RS5_ANAMM, 63.839924
SMAG1_RAT, 187.873936
SPEH_BACCN, 62.554536
SYC_BURCC, 211.689056
SYE1_BRUSU, 155.312480
TLX3_HUMAN, 131.509736
TRG_CUPNH, 120.996688
XYLG_YERPA, 905.957312
XYNA_THEMA, 315.349408
Y5318_PSEAB, 113.830408
YAEH_SALTY, 56.772104
YO13_BPHC1, 64.147344
